Humidity,Temperature,Smoke,Status
40.5,28.3,800,0
42.5,28.3,800,0
42.6,28.4,800,0
39.6,28.4,800,0
42.7,28.4,800,0
41.7,28.4,800,0
43.7,28.4,800,0
39.7,28.4,800,0
38.6,28.4,800,0
43.6,28.4,800,0
43.7,28.4,800,0
43.7,28.4,800,0
39.7,28.4,800,0
41.7,28.4,800,0
41.7,28.4,800,0
38.7,28.4,800,0
42.7,28.4,802,0
40.7,28.4,804,0
42.6,28.4,824,0
40.6,28.4,810,0
40.6,28.4,810,0
43.6,28.4,816,0
40.6,28.4,816,0
39.6,28.4,832,0
43.6,28.4,808,0
43.6,28.4,812,0
39.6,28.4,808,0
41.6,28.4,800,0
38.6,28.4,812,0
40.6,28.4,826,0
43.6,28.4,810,0
38.6,28.5,806,0
39.6,28.5,826,0
40.6,28.4,824,0
39.6,28.4,828,0
42.6,28.4,820,0
42.6,28.4,830,0
42.6,28.4,818,0
38.6,28.4,824,0
38.7,28.5,830,0
42.7,28.5,822,0
41.7,28.5,808,0
41.7,28.5,804,0
40.7,28.5,800,0
42.7,28.5,802,0
38.7,28.5,808,0
40.7,28.5,800,0
39.7,28.5,802,0
38.7,28.5,800,0
40.7,28.5,800,0
43.7,28.5,802,0
42.7,28.5,800,1
38.7,28.5,800,1
41.7,28.5,802,1
41.7,28.5,822,1
42.6,28.5,824,1
43.6,28.5,830,1
41.6,28.5,838,1
42.6,28.5,844,1
38.6,28.5,874,1
41.6,28.5,900,1
43.6,28.5,922,1
38.6,28.5,940,1
40.6,28.5,1058,1
40.6,28.5,1172,1
38.6,28.5,1182,1
42.6,28.5,1202,1
41.6,28.5,1192,1
39.6,28.5,1184,1
38.6,28.5,1224,1
40.6,28.5,1224,1
40.6,28.5,1192,1
42.6,28.5,1164,1
40.6,28.5,1122,1
40.6,28.5,1102,1
42.6,28.5,1092,1
42.6,28.5,1088,1
41.6,28.5,1108,1
42.6,28.5,1094,1
42.6,28.5,1122,1
41.6,28.5,1136,1
39.6,28.5,1162,1
39.6,28.5,1146,1
38.6,28.5,1142,1
43.6,28.5,1140,1
38.6,28.5,1130,1
39.6,28.5,1162,1
41.6,28.5,1174,1
40.7,28.5,1216,1
39.7,28.5,1234,1
41.7,28.5,1246,1
41.7,28.5,1254,1
41.7,28.4,1268,1
41.7,28.4,1260,1
43.8,28.5,1262,1
39.8,28.5,1254,1
40.8,28.5,1275,1
41.8,28.5,1286,1
39.8,28.5,1299,1
39.8,28.5,1302,1
42.8,28.5,1312,1
38.8,28.5,1319,1
38.8,28.5,1350,1
40.9,28.5,1347,1
38.9,28.5,1362,1
40.9,28.5,1371,1
42.9,28.5,1368,1
40.8,28.5,1371,1
40.8,28.5,1376,1
42.9,28.5,1378,1
40.9,28.5,1392,1
38.9,28.5,1389,1
43.9,28.5,1395,1
42.9,28.5,1385,1
38.9,28.5,1395,1
38.9,28.5,1414,1
38.9,28.5,1424,1
41.9,28.5,1423,1
43.9,28.5,1430,1
44,28.5,1453,1
41,28.5,1457,1
43,28.5,1491,1
42,28.5,1558,1
41,28.5,1155,1
39,28.5,1235.3,1
43.1,28.5,1274.9,1
44.1,28.5,1303.5,1
42.1,28.5,1358.5,1
43.1,28.5,1376.1,1
40.1,28.5,889.3333333,1
41.1,28.5,897.3333333,1
40.1,28.5,1422.3,1
41.2,28.5,1410.2,1
39.2,28.5,905.3333333,1
39.2,28.5,968,1
40.2,28.5,1056.666667,1
39.2,28.4,1066,1
41.2,28.4,1033.333333,1
44.2,28.4,1012,1
43.2,28.4,1028.666667,1
39.2,28.4,1077.333333,1
42.2,28.4,1075.333333,1
44.3,28.4,1082,1
41.3,28.4,1085.333333,1
41.3,28.4,1096.666667,1
43.3,28.4,1102,1
39.3,28.4,1113.333333,1
42.3,28.4,1134.666667,1
43.3,28.4,1161.333333,1
39.3,28.4,1144.666667,1
42.3,28.4,1154,1
43.3,28.4,1162,1
43.3,28.4,1180,1
40.3,28.4,1185.333333,1
44.4,28.4,1226.666667,1
39.4,28.4,1271.333333,1
42.4,28.4,1020.5,1
40.4,28.4,1076.5,1
40.4,28.4,1263,1
41.4,28.4,1373.5,1
44.5,28.4,1425,1
39.5,28.4,1405.5,1
39.5,28.4,1366,1
44.5,28.4,1281.5,1
40.5,28.4,1027,1
40.5,28.4,1010.5,1
40.5,28.4,1022.5,1
40.5,28.4,1063,1
40.5,28.4,1258,1
39.5,28.4,1335.5,1
42.5,28.4,1434.5,1
39.5,28.4,1445.5,1
41.5,28.4,1420,1
43.5,28.4,1355,1
43.5,28.4,1284,1
39.6,28.4,1257,1
40.6,28.4,1346.5,1
41.6,28.4,1404,1
40.6,28.4,1466.5,1
44.6,28.4,1454.5,1
39.6,28.4,1469,1
42.6,28.4,1434.5,1
39.6,28.4,1472.5,1
44.6,28.4,1507,1
44.6,28.4,1496,1
39.6,28.4,1495,1
42.6,28.4,1507,1
44.6,28.4,1558.5,1
43.6,28.4,1642,1
42.6,28.4,1668,1
42.6,28.4,1749,1
39.6,28.4,1778,1
43.6,28.4,1745,1
40.6,28.4,1785.5,1
44.6,28.4,1793,1
43.6,28.4,1777,1
39.6,28.4,1789.5,1
42.6,28.4,1801.5,1
43.6,28.4,1826,1
43.6,28.3,1848,1
44.6,28.3,1805,1
43.6,28.3,1793,1
42.6,28.3,1842,1
44.6,28.3,1827.5,1
39.6,28.3,1827.5,1
43.6,28.3,1823.5,1
42.6,28.3,1806.5,1
41.7,28.3,1811.5,1
44.7,28.3,1818.5,1
44.7,28.3,1825,1
44.7,28.3,1875,1
40.7,28.3,1887.5,1
41.7,28.3,1879,1
40.7,28.3,1895,1
43.7,28.3,1896,1
42.7,28.3,1930.5,1
42.7,28.3,1963.5,1
41.7,28.3,1980.5,1
41.7,28.3,2009,1
40.8,28.3,2028.5,1
43.8,28.3,2045.5,1
39.7,28.3,2091,1
41.7,28.3,2136.5,1
41.8,28.3,2156,1
39.8,28.3,2175.5,1
41.8,28.3,2244.5,1
43.8,28.3,2265.5,1
42.8,28.3,2205,1
39.8,28.3,2218.5,1
42.8,28.3,2231,1
39.8,28.3,2248,1
41.8,28.3,2214,2
41.8,28.3,2241,2
44.8,28.3,2340,2
44.8,28.3,2283.5,2
42.8,28.3,2245.5,2
44.8,28.3,2248,2
41.8,28.3,2217.5,2
43.8,28.3,2250.5,2
39.8,28.3,2288.5,2
42.8,28.3,2347.5,2
39.8,28.3,2369.5,2
43.8,28.3,2402.5,2
43.8,28.3,2387,2
44.9,28.3,2375.5,2
39.9,28.3,2374.5,2
44.9,28.3,2390.5,2
41.9,28.3,2390.5,2
42.9,28.3,2405,2
41.9,28.3,2388,2
39.9,28.3,2423.5,2
40.9,28.3,2448,2
40.9,28.3,2466.5,2
42.9,28.3,2543.5,2
42.9,28.3,2587,2
39.9,28.3,2564,2
40.9,28.3,2538,2
39.9,28.3,2584.5,2
44.9,28.3,2532,2
40.9,28.3,2500.5,2
40.9,28.3,2503,2
39.9,28.3,2459,2
43.9,28.3,2517.5,2
44.9,28.3,2561,2
39.9,28.3,2610.5,2
39.9,28.3,2654,2
41,28.3,2711.5,2
45,28.3,2810,2
42,28.3,2833.5,2
45,28.3,2914.5,2
43,28.3,3062,2
40,28.3,3050.5,2
41,28.3,3079.5,2
45,28.3,3094,2
44.9,28.2,3143,2
44.9,28.2,3123,2
41,28.3,3033,2
42,28.3,2946,2
42,28.3,2914.5,2
40,28.3,2981,2
42,28.3,3065,2
45,28.3,3157.5,2
43,28.2,3201,2
43,28.2,3143,2
44,28.3,3166.5,2
44,28.3,3230,2
41,28.2,3198,2
44,28.2,3247.5,2
41,28.3,3201,2
41,28.3,3215.5,2
45.1,28.3,3314,2
40.1,28.3,3369,2
41.1,28.3,3441.5,2
43.1,28.3,42321,2
42.1,28.3,26005,2
45,28.2,20901,2
40,28.2,25469,2
44,28.2,14875,2
44,28.2,3555,2
43,28.2,21484,2
42,28.2,26856,2
40.1,28.2,9303,2
41.1,28.2,18189,2
41.1,28.2,34512,2
